feature,importance
shipping_distance_km,0.06830559757942514
avs_match,0.05166414523449324
account_age_days,0.03857791225416041
amount,0.03509833585476552
cvv_result,0.012481089258698952
three_ds_flag,0.012178517397882005
channel,0.004160363086233021
total_transactions_user,0.0
country,0.0
bin_country,0.0
merchant_category,0.0
promo_used,0.0
transaction_time,0.0
